/* DATA DESCRIPTION:
Citation:	Antico, Andrés; Aguiar, Ricardo O; Amsler, Mario L (2017): Paraná River daily hydrometric data from Rosario City, Argentina: 1875 to 2017. PANGAEA, https://doi.org/10.1594/PANGAEA.882611, 
	In supplement to: Antico, A et al. (2018): Hydrometric data rescue in the Paraná River Basin. Water Resources Research, 54, 1368-1381, https://doi.org/10.1002/2017WR020897
Coverage:	LATITUDE: -32.933630 * LONGITUDE: -60.643550
	DATE/TIME START: 1875-01-01T00:00:00 * DATE/TIME END: 2017-07-31T00:00:00
Event(s):	Paraná_River_Rosario * LATITUDE: -32.933630 * LONGITUDE: -60.643550 * LOCATION: Rosario City, Argentina, South America * METHOD/DEVICE: Hydrographic station (HYD)
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Antico, Andrés (https://orcid.org/0000-0003-2985-9620, aantico@santafe-conicet.gov.ar)
	Water level [m] (WL) * PI: Antico, Andrés (https://orcid.org/0000-0003-2985-9620, aantico@santafe-conicet.gov.ar) * COMMENT: daily, official
	Water level [m] (WL) * PI: Antico, Andrés (https://orcid.org/0000-0003-2985-9620, aantico@santafe-conicet.gov.ar) * COMMENT: daily, corrected
	River discharge [m**3/s] (Q) * PI: Antico, Andrés (https://orcid.org/0000-0003-2985-9620, aantico@santafe-conicet.gov.ar) * COMMENT: daily, official
	River discharge [m**3/s] (Q) * PI: Antico, Andrés (https://orcid.org/0000-0003-2985-9620, aantico@santafe-conicet.gov.ar) * COMMENT: daily, corrected
	Quality flag [#] (Flag) * PI: Antico, Andrés (https://orcid.org/0000-0003-2985-9620, aantico@santafe-conicet.gov.ar) * COMMENT: Flag = 1 if the data value passed all the quality checks, and Flag = 0 if the data value did not pass one or more of these checks. That is, if Flag = 0, the data value is considered as suspicious
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	260385 data points
*/
Date/Time	WL [m] (daily, official)	WL [m] (daily, corrected)	Q [m**3/s] (daily, official)	Q [m**3/s] (daily, corrected)	Flag [#] (Flag = 1 if the data value pa...)
1875-08-17	0.94	1.50	10601	12206	1
1875-08-18	0.90	1.45	10466	12062	1
1875-08-19	0.85	1.40	10332	11918	1
1875-08-20	0.80	1.35	10199	11776	1
1875-08-21	0.75	1.31	10066	11634	1
1875-08-22	0.70	1.26	9934	11492	1
1875-08-23	0.66	1.21	9803	11352	1
1875-08-24	0.61	1.16	9672	11212	1
1875-08-25	0.56	1.11	9542	11073	1
1875-08-26	0.51	1.06	9413	10935	1
1875-08-27	0.46	1.01	9285	10797	1
1875-08-28	0.42	0.97	9157	10660	1
1875-08-29	0.37	0.92	9030	10524	1
1875-08-30	0.32	0.87	8904	10388	1
1875-08-31	0.27	0.82	8779	10254	1
1875-09-01	0.22	0.77	8652	10118	1
1875-09-02	0.19	0.74	8577	10037	1
1875-09-03	0.25	0.80	8728	10197	1
1875-09-04	0.31	0.86	8880	10357	1
1875-09-05	0.37	0.92	9033	10519	1
1875-09-06	0.43	0.97	9187	10682	1
1875-09-07	0.49	1.03	9342	10846	1
1875-09-08	0.54	1.09	9499	11011	1
1875-09-09	0.60	1.15	9656	11177	1
1875-09-10	0.66	1.21	9814	11344	1
1875-09-11	0.72	1.26	9974	11513	1
1875-09-12	0.76	1.31	10097	11642	1
1875-09-13	0.64	1.19	9770	11295	1
1875-09-14	0.52	1.07	9448	10951	1
1875-09-15	0.41	0.95	9130	10612	1
1875-09-16	0.29	0.83	8817	10278	1
1875-09-17	0.17	0.71	8508	9948	1
1875-09-18	0.05	0.59	8204	9622	1
1875-09-19	-0.02	0.53	8043	9450	1
1875-09-20	0.04	0.59	8196	9613	1
1875-09-21	0.11	0.65	8351	9776	1
1875-09-22	0.17	0.71	8507	9942	1
1875-09-23	0.23	0.77	8664	10108	1
1875-09-24	0.29	0.83	8822	10275	1
1875-09-25	0.35	0.89	8982	10444	1
1875-09-26	0.41	0.95	9142	10613	1
1875-09-27	0.47	1.01	9304	10784	1
1875-09-28	0.53	1.07	9467	10956	1
1875-09-29	0.59	1.13	9631	11129	1
1875-09-30	0.65	1.19	9796	11303	1
1875-10-01	0.68	1.22	9870	11381	1
1875-10-02	0.70	1.24	9933	11447	1
1875-10-03	0.73	1.26	9997	11513	1
1875-10-04	0.75	1.29	10060	11579	1
1875-10-05	0.77	1.31	10123	11645	1
1875-10-06	0.80	1.33	10187	11711	1
1875-10-07	0.82	1.35	10251	11778	1
1875-10-08	0.84	1.38	10315	11844	1
1875-10-09	0.87	1.40	10379	11911	1
1875-10-10	0.89	1.42	10443	11978	1
1875-10-11	0.91	1.45	10508	12045	1
1875-10-12	0.93	1.47	10572	12113	1
1875-10-13	0.96	1.49	10637	12180	1
1875-10-14	0.98	1.51	10702	12248	1
1875-10-15	1.00	1.54	10767	12316	1
1875-10-16	1.03	1.56	10832	12383	1
1875-10-17	1.05	1.58	10898	12452	1
1875-10-18	1.07	1.60	10963	12520	1
1875-10-19	1.10	1.63	11029	12588	1
1875-10-20	1.12	1.65	11095	12657	1
1875-10-21	1.33	1.86	11719	13315	1
1875-10-22	1.58	2.11	12452	14087	1
1875-10-23	1.83	2.36	13204	14879	1
1875-10-24	2.08	2.60	13975	15689	1
1875-10-25	2.32	2.85	14765	16518	1
1875-10-26	2.54	3.07	15474	17261	1
1875-10-27	2.60	3.13	15691	17487	1
1875-10-28	2.67	3.20	15908	17714	1
1875-10-29	2.74	3.26	16128	17942	1
1875-10-30	2.80	3.33	16349	18173	1
1875-10-31	2.88	3.40	16605	18440	1
1875-11-01	2.95	3.48	16867	18713	1
1875-11-02	3.03	3.56	17135	18992	1
1875-11-03	3.11	3.63	17405	19273	1
1875-11-04	3.19	3.71	17676	19556	1
1875-11-05	3.26	3.79	17950	19841	1
1875-11-06	3.34	3.87	18225	20127	1
1875-11-07	3.40	3.93	18446	20356	1
1875-11-08	3.39	3.91	18402	20309	1
1875-11-09	3.38	3.90	18359	20263	1
1875-11-10	3.37	3.89	18315	20216	1
1875-11-11	3.25	3.77	17912	19793	1
1875-11-12	2.96	3.48	16888	18720	1
1875-11-13	2.66	3.19	15891	17674	1
1875-11-14	2.37	2.89	14921	16655	1
1875-11-15	2.08	2.60	13977	15663	1
1875-11-16	1.93	2.45	13504	15165	1
1875-11-17	1.83	2.35	13214	14859	1
1875-11-18	1.74	2.26	12927	14555	1
1875-11-19	1.64	2.16	12642	14254	1
1875-11-20	1.55	2.07	12360	13956	1
1875-11-21	1.46	1.98	12081	13661	1
1875-11-22	1.36	1.88	11805	13368	1
1875-11-23	1.27	1.79	11531	13078	1
1875-11-24	1.18	1.69	11260	12791	1
1875-11-25	1.08	1.60	10991	12506	1
1875-11-26	0.99	1.51	10726	12224	1
1875-11-27	0.90	1.41	10463	11945	1
1875-11-28	0.80	1.32	10202	11669	1
1875-11-29	0.71	1.22	9945	11395	1
1875-11-30	0.61	1.13	9690	11125	1
1875-12-01	0.52	1.04	9442	10861	1
1875-12-02	0.48	1.00	9335	10746	1
1875-12-03	0.47	0.99	9307	10716	1
1875-12-04	0.46	0.97	9279	10685	1
1875-12-05	0.45	0.96	9251	10654	1
1875-12-06	0.44	0.95	9223	10623	1
1875-12-07	0.46	0.97	9263	10665	1
1875-12-08	0.48	0.99	9318	10722	1
1875-12-09	0.50	1.01	9372	10778	1
1875-12-10	0.52	1.03	9426	10835	1
1875-12-11	0.54	1.05	9481	10892	1
1875-12-12	0.56	1.07	9536	10948	1
1875-12-13	0.53	1.04	9453	10860	1
1875-12-14	0.48	0.99	9321	10718	1
1875-12-15	0.43	0.94	9189	10578	1
1875-12-16	0.38	0.89	9058	10438	1
1875-12-17	0.33	0.84	8928	10299	1
1875-12-18	0.28	0.79	8799	10161	1
1875-12-19	0.23	0.74	8670	10024	1
1875-12-20	0.18	0.69	8542	9887	1
1875-12-21	0.14	0.64	8429	9766	1
1875-12-22	0.28	0.79	8802	10160	1
1875-12-23	0.42	0.93	9181	10561	1
1875-12-24	0.57	1.07	9566	10968	1
1875-12-25	0.71	1.22	9958	11381	1
1875-12-26	0.86	1.36	10357	11801	1
1875-12-27	1.00	1.51	10762	12228	1
1875-12-28	1.15	1.65	11173	12660	1
1875-12-29	1.29	1.79	11591	13100	1
1875-12-30	1.43	1.94	12015	13545	1
1875-12-31	1.58	2.08	12446	13997	1
1876-01-01	1.72	2.23	12883	14456	1
1876-01-02	1.87	2.37	13327	14920	1
1876-01-03	2.01	2.51	13777	15392	1
1876-01-04	2.16	2.66	14233	15869	1
1876-01-05	2.30	2.80	14696	16353	1
1876-01-06	2.45	2.95	15166	16844	1
1876-01-07	2.59	3.09	15641	17340	1
1876-01-08	2.71	3.21	16050	17767	1
1876-01-09	2.69	3.19	15987	17700	1
1876-01-10	2.67	3.17	15925	17633	1
1876-01-11	2.66	3.15	15862	17566	1
1876-01-12	2.64	3.14	15800	17499	1
1876-01-13	2.62	3.12	15737	17433	1
1876-01-14	2.60	3.10	15675	17367	1
1876-01-15	2.58	3.08	15613	17300	1
1876-01-16	2.53	3.02	15436	17113	1
1876-01-17	2.37	2.86	14914	16566	1
1876-01-18	2.21	2.70	14400	16026	1
1876-01-19	2.05	2.55	13894	15495	1
1876-01-20	1.89	2.39	13396	14971	1
1876-01-21	1.73	2.23	12906	14455	1
1876-01-22	1.57	2.07	12423	13947	1
1876-01-23	1.41	1.91	11949	13447	1
1876-01-24	1.25	1.75	11482	12955	1
1876-01-25	1.19	1.69	11313	12776	1
1876-01-26	1.22	1.71	11390	12856	1
1876-01-27	1.25	1.74	11468	12936	1
1876-01-28	1.27	1.77	11546	13017	1
1876-01-29	1.30	1.79	11623	13098	1
1876-01-30	1.30	1.80	11633	13106	1
1876-01-31	1.30	1.79	11619	13090	1
1876-02-01	1.30	1.79	11604	13074	1
1876-02-02	1.29	1.78	11589	13057	1
1876-02-03	1.30	1.79	11612	13080	1
1876-02-04	1.41	1.90	11943	13427	1
1876-02-05	1.52	2.01	12278	13778	1
1876-02-06	1.64	2.13	12618	14133	1
1876-02-07	1.75	2.24	12961	14492	1
1876-02-08	1.86	2.35	13308	14855	1
1876-02-09	1.97	2.46	13659	15222	1
1876-02-10	2.09	2.57	14014	15593	1
1876-02-11	2.20	2.69	14373	15968	1
1876-02-12	2.31	2.80	14736	16346	1
1876-02-13	2.34	2.83	14833	16447	1
1876-02-14	2.34	2.83	14824	16436	1
1876-02-15	2.34	2.82	14815	16425	1
1876-02-16	2.33	2.82	14805	16413	1
1876-02-17	2.33	2.82	14796	16402	1
1876-02-18	2.32	2.80	14749	16352	1
1876-02-19	2.28	2.77	14643	16240	1
1876-02-20	2.25	2.74	14538	16129	1
1876-02-21	2.22	2.70	14433	16018	1
1876-02-22	2.19	2.67	14329	15907	1
1876-02-23	2.15	2.64	14225	15797	1
1876-02-24	2.17	2.66	14290	15864	1
1876-02-25	2.22	2.70	14434	16014	1
1876-02-26	2.26	2.75	14579	16164	1
1876-02-27	2.31	2.79	14724	16315	1
1876-02-28	2.35	2.84	14870	16466	1
1876-02-29	2.36	2.84	14884	16480	1
1876-03-01	2.35	2.83	14861	16454	1
1876-03-02	2.34	2.82	14838	16429	1
1876-03-03	2.34	2.82	14815	16404	1
1876-03-04	2.33	2.81	14793	16379	1
1876-03-05	2.32	2.80	14770	16354	1
1876-03-06	2.33	2.80	14781	16364	1
1876-03-07	2.33	2.81	14801	16384	1
1876-03-08	2.34	2.82	14822	16405	1
1876-03-09	2.42	2.90	15090	16683	1
1876-03-10	2.53	3.01	15459	17068	1
1876-03-11	2.65	3.12	15833	17457	1
1876-03-12	2.76	3.24	16211	17850	1
1876-03-13	2.87	3.35	16593	18247	1
1876-03-14	2.98	3.45	16960	18629	1
1876-03-15	3.00	3.48	17033	18703	1
1876-03-16	3.02	3.50	17106	18778	1
1876-03-17	3.04	3.52	17179	18852	1
1876-03-18	3.06	3.54	17252	18927	1
1876-03-19	3.09	3.56	17325	19002	1
1876-03-20	3.11	3.58	17398	19077	1
1876-03-21	3.13	3.60	17472	19152	1
1876-03-22	3.15	3.62	17545	19228	1
1876-03-23	3.17	3.64	17619	19303	1
1876-03-24	3.19	3.66	17693	19379	1
1876-03-25	3.26	3.73	17921	19615	1
1876-03-26	3.35	3.82	18268	19975	1
1876-03-27	3.45	3.92	18619	20338	1
1876-03-28	3.55	4.02	18972	20705	1
1876-03-29	3.63	4.10	19256	20998	1
1876-03-30	3.63	4.10	19275	21017	1
1876-03-31	3.64	4.11	19294	21035	1
1876-04-01	3.64	4.11	19314	21054	1
1876-04-02	3.65	4.12	19334	21074	1
1876-04-03	3.64	4.10	19281	21017	1
1876-04-04	3.62	4.08	19217	20950	1
1876-04-05	3.60	4.07	19154	20882	1
1876-04-06	3.57	4.03	19028	20750	1
1876-04-07	3.52	3.98	18847	20560	1
1876-04-08	3.47	3.93	18666	20371	1
1876-04-09	3.45	3.92	18622	20323	1
1876-04-10	3.44	3.91	18581	20280	1
1876-04-11	3.43	3.89	18540	20236	1
1876-04-12	3.42	3.88	18499	20192	1
1876-04-13	3.41	3.87	18459	20148	1
1876-04-14	3.40	3.86	18418	20104	1
1876-04-15	3.38	3.85	18377	20061	1
1876-04-16	3.37	3.84	18337	20017	1
1876-04-17	3.35	3.81	18249	19925	1
1876-04-18	3.23	3.69	17821	19477	1
1876-04-19	3.11	3.57	17397	19035	1
1876-04-20	2.98	3.45	16977	18596	1
1876-04-21	2.86	3.32	16562	18163	1
1876-04-22	2.78	3.24	16276	17864	1
1876-04-23	2.74	3.20	16129	17709	1
1876-04-24	2.69	3.15	15983	17556	1
1876-04-25	2.65	3.11	15838	17402	1
1876-04-26	2.60	3.06	15692	17250	1
1876-04-27	2.56	3.02	15548	17098	1
1876-04-28	2.52	2.98	15404	16946	1
1876-04-29	2.47	2.93	15261	16796	1
1876-04-30	2.43	2.89	15118	16645	1
1876-05-01	2.39	2.84	14978	16498	1
1876-05-02	2.35	2.80	14841	16354	1
1876-05-03	2.30	2.76	14705	16210	1
1876-05-04	2.26	2.72	14569	16067	1
1876-05-05	2.23	2.69	14470	15963	1
1876-05-06	2.24	2.69	14492	15984	1
1876-05-07	2.24	2.70	14513	16005	1
1876-05-08	2.25	2.70	14535	16026	1
1876-05-09	2.26	2.71	14556	16048	1
1876-05-10	2.26	2.72	14578	16069	1
1876-05-11	2.27	2.72	14599	16090	1
1876-05-12	2.28	2.73	14621	16111	1
1876-05-13	2.28	2.74	14642	16132	1
1876-05-14	2.26	2.71	14558	16043	1
1876-05-15	2.20	2.65	14380	15856	1
1876-05-16	2.15	2.60	14202	15670	1
1876-05-17	2.09	2.54	14026	15484	1
1876-05-18	2.04	2.49	13851	15300	1
1876-05-19	1.98	2.43	13677	15117	1
1876-05-20	1.92	2.37	13503	14935	1
1876-05-21	1.88	2.33	13352	14775	1
1876-05-22	1.83	2.28	13220	14636	1
1876-05-23	1.79	2.24	13089	14498	1
1876-05-24	1.75	2.20	12958	14360	1
1876-05-25	1.71	2.15	12827	14222	1
1876-05-26	1.66	2.11	12698	14085	1
1876-05-27	1.62	2.07	12568	13949	1
1876-05-28	1.59	2.03	12466	13841	1
1876-05-29	1.55	2.00	12365	13733	1
1876-05-30	1.52	1.96	12263	13626	1
1876-05-31	1.48	1.93	12163	13520	1
1876-06-01	1.45	1.90	12060	13412	1
