/* DATA DESCRIPTION:
Citation:	Antico, Andrés; Aguiar, Ricardo O; Amsler, Mario L (2017): Paraná River monthly hydrometric data from Rosario City, Argentina: 1875 to 2017. PANGAEA, https://doi.org/10.1594/PANGAEA.882612, 
	In supplement to: Antico, A et al. (2018): Hydrometric data rescue in the Paraná River Basin. Water Resources Research, 54, 1368-1381, https://doi.org/10.1002/2017WR020897
Coverage:	LATITUDE: -32.933630 * LONGITUDE: -60.643550
	DATE/TIME START: 1875-01-01T00:00:00 * DATE/TIME END: 2017-07-31T00:00:00
Event(s):	Paraná_River_Rosario * LATITUDE: -32.933630 * LONGITUDE: -60.643550 * LOCATION: Rosario City, Argentina, South America * METHOD/DEVICE: Hydrographic station (HYD)
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Antico, Andrés (https://orcid.org/0000-0003-2985-9620, aantico@santafe-conicet.gov.ar)
	Water level, monthly mean [m] (WL month mean) * PI: Antico, Andrés (https://orcid.org/0000-0003-2985-9620, aantico@santafe-conicet.gov.ar) * COMMENT: monthly, official
	Water level, monthly mean [m] (WL month mean) * PI: Antico, Andrés (https://orcid.org/0000-0003-2985-9620, aantico@santafe-conicet.gov.ar) * COMMENT: monthly, corrected
	River discharge, monthly mean [m**3/s] (Q month mean) * PI: Antico, Andrés (https://orcid.org/0000-0003-2985-9620, aantico@santafe-conicet.gov.ar) * COMMENT: monthly, official
	River discharge, monthly mean [m**3/s] (Q month mean) * PI: Antico, Andrés (https://orcid.org/0000-0003-2985-9620, aantico@santafe-conicet.gov.ar) * COMMENT: monthly, corrected
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	6844 data points
*/
Date/Time	WL month mean [m] (monthly, official)	WL month mean [m] (monthly, corrected)	Q month mean [m**3/s] (monthly, official)	Q month mean [m**3/s] (monthly, corrected)
1880-07	4.59	4.47	22905	22422
1880-08	4.68	4.55	23267	22734
1880-09	4.29	4.14	21730	21171
1880-10	3.55	3.39	18980	18413
1880-11	3.58	3.41	19094	18483
1880-12	3.41	3.23	18482	17840
1881-01	4.19	3.99	21348	20619
1881-02	4.84	4.63	23882	23071
1881-03	5.52	5.30	26686	25785
1881-04	5.40	5.18	26208	25268
1881-05	5.01	4.77	24563	23604
1881-06	4.84	4.59	23889	22897
1881-07	4.70	4.44	23324	22299
1881-08	4.22	3.95	21484	20452
1881-09	2.97	2.68	16936	15972
1881-10	2.49	2.20	15352	14392
1881-11	3.45	3.14	18640	17552
1881-12	3.78	3.46	19822	18662
1882-01	3.68	3.35	19471	18279
1882-02	4.29	3.95	21725	20429
1882-03	4.65	4.30	23133	21757
1882-04	4.63	4.27	23080	21661
1882-05	4.07	3.69	20879	19482
1882-06	4.01	3.62	20671	19239
1882-07	4.73	4.33	23451	21888
1882-08	3.99	3.58	20595	19081
1882-09	2.12	1.70	14209	12897
1882-10	1.32	0.89	11685	10445
1882-11	0.70	0.25	9923	8737
1882-12	0.39	-0.06	9101	7928
1883-01	1.34	0.87	11771	10431
1883-02	2.46	1.98	15241	13705
1883-03	3.42	2.93	18517	16800
1883-04	3.24	2.74	17877	16149
1883-05	2.37	1.86	14943	13313
1883-06	2.44	1.92	15155	13479
1883-07	1.98	1.44	13686	12051
1883-08	0.66	0.11	9810	8364
1883-09	0.24	-0.32	8713	7310
1883-10	-0.07	-0.64	7916	6540
1883-11	2.05	1.46	13932	12147
1883-12	3.03	2.44	17157	15157
1884-01	3.24	3.66	17882	19386
1884-02	3.24	3.66	17901	19400
1884-03	3.24	3.65	17881	19374
1884-04	3.44	3.85	18601	20115
1884-05	2.20	2.61	14383	15734
1884-06	1.98	2.39	13695	15014
1884-07	1.92	2.33	13503	14809
1884-08	1.36	1.77	11808	13038
1884-09	0.39	0.80	9088	10192
1884-10	0.36	0.76	9004	10100
1884-11	1.66	2.06	12819	14075
1884-12	2.48	2.88	15277	16631
1885-01	2.64	3.05	15823	17192
1885-02	3.22	3.62	17831	19268
1885-03	4.07	4.47	20903	22441
1885-04	4.08	4.48	20934	22468
1885-05	4.12	4.52	21097	22631
1885-06	3.90	4.29	20248	21748
1885-07	3.71	4.10	19553	21025
1885-08	3.78	4.18	19830	21306
1885-09	2.65	3.04	15847	17181
1885-10	2.51	2.90	15400	16712
1885-11	1.96	2.35	13620	14860
1885-12	0.82	1.21	10254	11354
1886-01	2.17	2.55	14353	15610
1886-02	2.86	3.25	16567	17902
1886-03	2.84	3.22	16481	17810
1886-04	3.64	4.02	19295	20713
1886-05	3.17	3.55	17643	19001
1886-06	2.16	2.54	14248	15482
1886-07	2.32	2.70	14764	16012
1886-08	0.70	1.07	9928	10982
1886-09	1.42	1.79	11966	13100
1886-10	0.69	1.06	9901	10946
1886-11	0.87	1.24	10413	11476
1886-12	1.67	2.05	12730	13881
1887-01	2.27	2.64	14627	15842
1887-02	3.23	3.60	17833	19153
1887-03	2.78	3.15	16297	17562
1887-04	2.95	3.32	16856	18136
1887-05	2.54	2.91	15511	16740
1887-06	1.47	1.84	12136	13240
1887-07	1.74	2.10	12955	14084
1887-08	0.89	1.25	10479	11508
1887-09	0.38	0.74	9159	10129
1887-10	1.89	2.25	13463	14597
1887-11	2.04	2.40	13887	15033
1887-12	2.24	2.60	14518	15680
1888-01	3.37	3.73	18345	19628
1888-02	2.72	3.07	16110	17316
1888-03	2.36	2.71	14901	16064
1888-04	2.31	2.66	14744	15897
1888-05	2.08	2.43	14007	15130
1888-06	3.34	3.69	18234	19488
1888-07	1.90	2.25	13529	14624
1888-08	0.81	1.15	10220	11194
1888-09	1.15	1.49	11198	12204
1888-10	2.64	2.98	15833	16993
1888-11	4.31	4.65	21816	23148
1888-12	4.54	4.88	22694	24045
1889-01	4.20	4.54	21398	22708
1889-02	4.43	4.77	22267	23595
1889-03	4.32	4.66	21858	23170
1889-04	4.30	4.64	21777	23082
1889-05	4.23	4.56	21489	22780
1889-06	4.36	4.69	21989	23289
1889-07	3.82	4.15	19958	21197
1889-08	2.40	2.73	15091	16181
1889-09	0.79	1.11	10176	11098
1889-10	2.12	2.45	14189	15242
1889-11	2.23	2.56	14488	15547
1889-12	2.83	3.16	16528	17643
1890-01	4.15	4.47	21201	22442
1890-02	4.15	4.47	21192	22428
1890-03	4.07	4.39	20908	22132
1890-04	4.03	4.34	20733	21947
1890-05	2.20	2.51	14413	15442
1890-06	1.53	1.85	12305	13265
1890-07	1.49	1.80	12188	13140
1890-08	0.72	1.03	10006	10879
1890-09	1.13	1.44	11232	12140
1890-10	1.38	1.69	11901	12830
1890-11	0.65	0.96	9801	10656
1890-12	0.73	1.04	10029	10888
1891-01	1.69	1.99	12811	13756
1891-02	3.46	3.76	18642	19750
1891-03	3.50	3.81	18807	19915
1891-04	2.96	3.26	16899	17951
1891-05	3.26	3.56	17932	19006
1891-06	2.86	3.16	16579	17612
1891-07	4.37	4.67	22067	23235
1891-08	3.85	4.14	20100	21215
1891-09	1.74	2.03	12990	13906
1891-10	1.90	2.19	13548	14475
1891-11	3.63	3.92	19251	20329
1891-12	3.03	3.32	17228	18248
1892-01	2.85	3.14	16528	17527
1892-02	3.15	3.44	17562	18583
1892-03	4.13	4.42	21142	22246
1892-04	4.76	5.05	23579	24733
1892-05	4.67	4.95	23208	24348
1892-06	3.50	3.79	18827	19861
1892-07	2.26	2.54	14576	15495
1892-08	1.57	1.85	12441	13296
1892-09	1.24	1.52	11462	12284
1892-10	1.57	1.84	12429	13276
1892-11	3.39	3.67	18426	19425
1892-12	2.02	2.30	13910	14787
1893-01	1.58	1.85	12450	13285
1893-02	3.32	3.59	18155	19132
1893-03	2.50	2.77	15354	16258
1893-04	2.25	2.52	14550	15429
1893-05	2.02	2.29	13817	14672
1893-06	2.26	2.53	14581	15452
1893-07	2.69	2.96	15992	16893
1893-08	0.93	1.19	10608	11361
1893-09	0.31	0.57	8893	9592
1893-10	0.79	1.06	10196	10930
1893-11	1.13	1.39	11153	11910
1893-12	0.07	0.33	8281	8949
1894-01	1.56	1.82	12589	13372
1894-02	2.69	2.94	15970	16839
1894-03	3.13	3.39	17497	18396
1894-04	3.08	3.34	17340	18231
1894-05	2.17	2.42	14271	15086
1894-06	1.86	2.12	13319	14106
1894-07	1.88	2.13	13365	14149
1894-08	0.88	1.13	10467	11170
1894-09	0.42	0.67	9196	9859
1894-10	0.71	0.96	9979	10661
1894-11	1.33	1.57	11710	12434
1894-12	0.95	1.20	10631	11324
1895-01	1.85	2.09	13333	14089
1895-02	3.78	4.02	19836	20731
1895-03	4.43	4.67	22271	23209
1895-04	4.64	4.88	23100	24048
1895-05	3.80	4.04	19920	20801
1895-06	3.01	3.24	17058	17877
1895-07	2.28	2.51	14645	15406
1895-08	1.62	1.85	12578	13288
1895-09	1.57	1.80	12458	13159
1895-10	2.74	2.97	16229	17009
1895-11	4.22	4.45	21481	22362
1895-12	3.75	3.98	19715	20558
1896-01	3.15	3.37	17571	18366
1896-02	3.49	3.71	18744	19558
1896-03	3.78	4.00	19796	20625
1896-04	3.66	3.88	19376	20192
1896-05	2.91	3.13	16753	17513
1896-06	1.54	1.76	12338	13000
1896-07	1.26	1.47	11505	12144
1896-08	1.06	1.28	10933	11555
1896-09	0.62	0.83	9712	10301
1896-10	2.12	2.33	14110	14794
1896-11	2.60	2.81	15688	16400
1896-12	3.07	3.28	17276	18013
1897-01	3.61	3.82	19199	19966
1897-02	4.64	4.84	23084	23912
1897-03	4.99	5.19	24491	25337
1897-04	4.86	5.06	23965	24797
1897-05	3.87	4.08	20194	20958
1897-06	2.75	2.96	16194	16883
1897-07	2.39	2.59	14988	15650
1897-08	1.39	1.59	11879	12474
1897-09	1.84	2.04	13237	13856
1897-10	1.29	1.49	11612	12193
1897-11	0.77	0.97	10136	10682
1897-12	0.38	0.58	9082	9600
1898-01	1.30	1.49	11712	12282
1898-02	2.46	2.66	15235	15870
1898-03	3.13	3.32	17499	18169
1898-04	2.62	2.81	15752	16387
1898-05	3.59	3.77	19112	19798
1898-06	2.16	2.35	14286	14885
1898-07	1.87	2.05	13341	13919
1898-08	1.42	1.60	11980	12528
1898-09	1.58	1.76	12447	13001
1898-10	1.36	1.54	11789	12326
1898-11	1.75	1.93	13034	13589
1898-12	3.48	3.66	18739	19386
1899-01	4.11	4.29	21063	21738
1899-02	4.06	4.24	20857	21525
1899-03	4.23	4.41	21518	22190
1899-04	4.21	4.39	21435	22101
1899-05	4.09	4.26	20960	21614
1899-06	3.26	3.43	17978	18583
1899-07	2.17	2.34	14295	14838
1899-08	1.96	2.13	13622	14150
1899-09	2.83	3.00	16458	17026
1899-10	2.62	2.79	15761	16314
1899-11	3.44	3.60	18580	19170
1899-12	3.96	4.12	20483	21095
1900-01	4.24	4.40	21552	22172
1900-02	4.16	4.32	21243	21854
1900-03	4.32	4.48	21838	22451
1900-04	4.16	4.32	21246	21847
1900-05	3.32	3.47	18138	18693
1900-06	3.91	4.06	20288	20866
1900-07	3.02	3.17	17098	17629
1900-08	2.27	2.42	14604	15095
1900-09	2.82	2.97	16426	16938
1900-10	2.54	2.69	15507	16002
1900-11	3.68	3.83	19477	20019
1900-12	4.01	4.16	20680	21233
1901-01	3.40	3.55	18438	18958
1901-02	3.57	3.71	19040	19563
1901-03	3.53	3.67	18907	19423
1901-04	3.14	3.28	17510	18004
1901-05	2.77	2.91	16244	16717
1901-06	1.74	1.88	12949	13374
1901-07	1.31	1.44	11648	12050
1901-08	1.80	1.93	13200	13619
1901-09	1.34	1.47	11736	12132
1901-10	0.68	0.81	9870	10234
1901-11	0.03	0.16	8171	8505
1901-12	0.68	0.81	9890	10247
1902-01	2.44	2.57	15191	15614
1902-02	2.44	2.57	15167	15586
1902-03	3.11	3.23	17430	17870
1902-04	3.90	4.03	20276	20742
1902-05	3.25	3.37	17919	18355
1902-06	3.39	3.51	18405	18842
1902-07	2.99	3.11	17037	17454
1902-08	1.11	1.23	11082	11425
1902-09	1.14	1.26	11168	11508
1902-10	1.47	1.58	12137	12486
1902-11	1.99	2.10	13699	14062
1902-12	3.08	3.20	17384	17781
1903-01	2.81	2.92	16409	16791
1903-02	2.58	2.70	15636	16006
1903-03	3.64	3.75	19301	19703
1903-04	3.91	4.02	20294	20699
1903-05	2.92	3.03	16762	17130
1903-06	2.68	2.79	15944	16300
1903-07	2.28	2.38	14658	14996
1903-08	1.62	1.72	12576	12889
1903-09	0.64	0.74	9775	10053
1903-10	0.24	0.34	8740	9002
1903-11	1.69	1.79	12772	13074
1903-12	2.23	2.33	14493	14808
1904-01	3.15	3.25	17593	17931
1904-02	3.79	3.88	19844	20196
1904-03	3.80	3.90	19910	20257
1904-04	2.90	2.99	16699	17016
1904-05	1.71	1.80	12859	13137
1904-06	1.37	1.46	11835	12099
1904-07	2.12	2.21	14207	14488
1904-08	2.13	2.22	14190	14467
1904-09	2.15	2.24	14223	14497
1904-10	2.71	2.80	16138	16421
1904-11	3.78	3.86	19816	20123
1904-12	4.11	4.19	21050	21360
1905-01	4.34	4.42	21941	22251
1905-02	4.48	4.56	22486	22795
1905-03	4.75	4.83	23547	23857
1905-04	4.93	5.00	24248	24556
1905-05	4.80	4.87	23732	24032
1905-06	5.67	5.74	27373	27687
1905-07	5.38	5.45	26106	26408
1905-08	4.91	4.99	24195	24481
1905-09	4.53	4.60	22659	22932
1905-10	4.11	4.18	21037	21296
1905-11	3.85	3.91	20067	20314
1905-12	3.43	3.50	18556	18790
1906-01	3.72	3.79	19604	19840
1906-02	4.18	4.24	21308	21548
1906-03	4.38	4.44	22087	22325
1906-04	4.54	4.60	22688	22923
1906-05	4.28	4.34	21715	21940
1906-06	3.04	3.10	17186	17385
1906-07	2.71	2.76	16063	16251
1906-08	1.47	1.53	12134	12297
1906-09	1.04	1.09	10865	11017
1906-10	0.73	0.78	9997	10140
1906-11	0.44	0.49	9228	9363
1906-12	0.68	0.73	9863	9998
1907-01	2.25	2.29	14646	14799
1907-02	2.91	2.96	16727	16886
1907-03	3.81	3.86	19937	20104
1907-04	3.38	3.43	18432	18588
1907-05	2.05	2.09	13904	14038
1907-06	1.80	1.84	13151	13278
1907-07	1.88	1.92	13388	13511
1907-08	1.34	1.38	11767	11880
1907-09	2.30	2.34	14754	14874
1907-10	2.95	2.99	16867	16989
1907-11	3.51	3.55	18844	18968
1907-12	3.27	3.30	17965	18082
1908-01	3.64	3.67	19293	19409
1908-02	4.02	4.05	20726	20840
1908-03	4.42	4.45	22245	22358
1908-04	4.22	4.24	21449	21555
1908-05	3.24	3.26	17867	17960
1908-06	3.33	3.35	18182	18270
1908-07	3.10	3.12	17368	17450
1908-08	2.32	2.34	14793	14865
1908-09	1.33	1.35	11728	11789
1908-10	2.19	2.20	14389	14451
1908-11	3.48	3.50	18715	18780
1908-12	3.80	3.80	19870	19870
1909-01	3.68	3.68	19441	19441
1909-02	3.22	3.22	17808	17808
1909-03	3.03	3.03	17129	17129
1909-04	3.02	3.02	17105	17105
1909-05	2.33	2.33	14813	14813
1909-06	2.33	2.33	14820	14820
1909-07	1.27	1.27	11545	11545
1909-08	0.24	0.24	8710	8710
1909-09	-0.10	-0.10	7843	7843
1909-10	0.31	0.31	8879	8879
1909-11	0.78	0.78	10161	10161
1909-12	1.47	1.47	12130	12130
1910-01	1.45	1.45	12055	12055
1910-02	2.31	2.31	14745	14745
1910-03	3.18	3.18	17662	17662
1910-04	3.38	3.38	18359	18359
1910-05	3.31	3.31	18103	18103
1910-06	2.42	2.42	15107	15107
1910-07	1.49	1.49	12238	12238
1910-08	1.21	1.21	11386	11386
1910-09	-0.02	-0.02	8038	8038
1910-10	0.72	0.72	9992	9992
1910-11	0.25	0.25	8734	8734
1910-12	0.22	0.22	8659	8659
1911-01	-0.22	-0.22	7557	7557
1911-02	1.34	1.34	11750	11750
1911-03	1.30	1.30	11611	11611
1911-04	1.87	1.87	13356	13356
1911-05	1.90	1.90	13455	13455
1911-06	1.84	1.84	13262	13262
1911-07	1.78	1.78	13082	13082
1911-08	2.02	2.02	13806	13806
1911-09	1.82	1.82	13184	13184
1911-10	2.98	2.98	16971	16971
1911-11	3.20	3.20	17757	17757
1911-12	3.75	3.75	19730	19730
1912-01	4.61	4.61	23006	23006
1912-02	4.53	4.53	22684	22684
1912-03	4.47	4.47	22434	22434
1912-04	4.46	4.46	22391	22391
1912-05	4.16	4.16	21240	21240
1912-06	3.49	3.49	18775	18775
1912-07	2.80	2.80	16379	16379
1912-08	1.95	1.95	13589	13589
1912-09	1.28	1.28	11559	11559
1912-10	1.80	1.80	13132	13132
1912-11	2.30	2.30	14697	14697
1912-12	2.56	2.56	15563	15563
1913-01	2.81	2.81	16374	16374
1913-02	3.54	3.54	18937	18937
1913-03	3.62	3.62	19242	19242
1913-04	3.85	3.85	20065	20065
1913-05	3.94	3.94	20413	20413
1913-06	3.46	3.46	18644	18644
1913-07	2.65	2.65	15868	15868
1913-08	1.70	1.70	12807	12807
1913-09	1.51	1.51	12239	12239
1913-10	1.46	1.46	12103	12103
1913-11	1.08	1.08	10993	10993
1913-12	0.26	0.26	8768	8768
1914-01	0.55	0.55	9544	9544
1914-02	1.66	1.66	12723	12723
1914-03	2.58	2.58	15608	15608
1914-04	3.56	3.56	19016	19016
1914-05	4.17	4.17	21261	21261
1914-06	3.47	3.47	18689	18689
1914-07	3.17	3.17	17611	17611
1914-08	2.94	2.94	16853	16853
1914-09	1.90	1.90	13444	13444
1914-10	1.85	1.85	13296	13296
1914-11	2.20	2.20	14379	14379
1914-12	3.74	3.74	19675	19675
1915-01	3.92	3.92	20337	20337
1915-02	3.41	3.41	18483	18483
1915-03	2.19	2.19	14340	14340
1915-04	3.21	3.21	17813	17813
1915-05	3.60	3.60	19173	19173
1915-06	3.78	3.78	19812	19812
1915-07	2.62	2.62	15854	15854
1915-08	0.44	0.44	9249	9249
1915-09	1.39	1.39	11956	11956
1915-10	1.98	1.98	13870	13870
1915-11	2.29	2.29	14712	14712
1915-12	1.60	1.60	12538	12538
1916-01	1.05	1.05	10914	10914
1916-02	2.44	2.44	15187	15187
1916-03	2.38	2.38	14953	14953
1916-04	2.14	2.14	14196	14196
1916-05	1.49	1.49	12194	12194
1916-06	2.02	2.02	13817	13817
1916-07	1.70	1.70	12808	12808
1916-08	0.91	0.91	10501	10501
1916-09	0.40	0.40	9112	9112
1916-10	1.13	1.13	11157	11157
1916-11	-0.38	-0.38	7173	7173
1916-12	-0.50	-0.50	6893	6893
1917-01	1.09	1.09	11017	11017
1917-02	2.09	2.09	14036	14036
1917-03	2.57	2.57	15597	15597
1917-04	2.46	2.46	15215	15215
1917-05	1.86	1.86	13305	13305
1917-06	0.91	0.91	10516	10516
1917-07	0.54	0.54	9487	9487
1917-08	0.33	0.33	8933	8933
1917-09	-0.25	-0.25	7456	7456
1917-10	0.89	0.89	10472	10472
1917-11	0.65	0.65	9824	9824
1917-12	-0.56	-0.56	6720	6720
1918-01	0.33	0.33	8945	8945
1918-02	1.74	1.74	12970	12970
1918-03	2.61	2.61	15697	15697
1918-04	2.50	2.50	15359	15359
1918-05	1.86	1.86	13292	13292
1918-06	2.36	2.36	14886	14886
1918-07	3.02	3.02	17105	17105
1918-08	1.57	1.57	12461	12461
1918-09	0.46	0.46	9276	9276
1918-10	1.21	1.21	11360	11360
1918-11	1.86	1.86	13339	13339
1918-12	2.17	2.17	14281	14281
1919-01	2.24	2.24	14517	14517
1919-02	2.64	2.64	15835	15835
1919-03	3.59	3.59	19130	19130
1919-04	3.42	3.42	18511	18511
1919-05	3.35	3.35	18248	18248
1919-06	3.64	3.64	19306	19306
1919-07	4.05	4.05	20832	20832
1919-08	3.24	3.24	17939	17939
1919-09	1.55	1.55	12369	12369
1919-10	1.24	1.24	11467	11467
1919-11	2.89	2.89	16695	16695
1919-12	3.72	3.72	19577	19577
1920-01	4.06	4.06	20854	20854
1920-02	4.23	4.23	21511	21511
1920-03	4.33	4.33	21892	21892
1920-04	4.33	4.33	21887	21887
1920-05	3.74	3.74	19666	19666
1920-06	2.92	2.92	16760	16760
1920-07	2.90	2.90	16700	16700
1920-08	2.93	2.93	16813	16813
1920-09	1.99	1.99	13726	13726
1920-10	2.82	2.82	16411	16411
1920-11	2.58	2.58	15606	15606
1920-12	3.27	3.27	17978	17978
1921-01	3.71	3.71	19553	19553
1921-02	4.10	4.10	21009	21009
1921-03	4.73	4.73	23456	23456
1921-04	4.71	4.71	23360	23360
1921-05	4.30	4.30	21777	21777
1921-06	3.04	3.04	17194	17194
1921-07	2.60	2.60	15684	15684
1921-08	2.00	2.00	13730	13730
1921-09	1.71	1.71	12839	12839
1921-10	3.31	3.31	18146	18146
1921-11	3.01	3.01	17103	17103
1921-12	0.93	0.93	10581	10581
1922-01	1.07	1.07	10973	10973
1922-02	2.78	2.78	16323	16323
1922-03	3.54	3.54	18955	18955
1922-04	4.08	4.08	20939	20939
1922-05	4.28	4.28	21696	21696
1922-06	4.35	4.35	21946	21946
1922-07	4.48	4.48	22463	22463
1922-08	4.22	4.22	21451	21451
1922-09	3.96	3.96	20487	20487
1922-10	2.94	2.94	16847	16847
1922-11	2.01	2.01	13768	13768
1922-12	1.36	1.36	11791	11791
1923-01	2.10	2.10	14073	14073
1923-02	2.98	2.98	16954	16954
1923-03	3.12	3.12	17440	17440
1923-04	3.55	3.55	18976	18976
1923-05	3.61	3.61	19183	19183
1923-06	3.50	3.50	18800	18800
1923-07	4.07	4.07	20905	20905
1923-08	3.36	3.36	18351	18351
1923-09	2.30	2.30	14691	14691
1923-10	2.87	2.87	16576	16576
1923-11	3.50	3.50	18779	18779
1923-12	4.05	4.05	20817	20817
1924-01	3.56	3.56	19008	19008
1924-02	3.12	3.12	17435	17435
1924-03	3.44	3.44	18583	18583
1924-04	3.64	3.64	19293	19293
1924-05	2.40	2.40	15065	15065
1924-06	2.66	2.66	15892	15892
1924-07	2.26	2.26	14600	14600
1924-08	0.82	0.82	10258	10258
1924-09	0.40	0.40	9117	9117
1924-10	-0.22	-0.22	7542	7542
1924-11	-0.61	-0.61	6620	6620
1924-12	-0.02	-0.02	8027	8027
1925-01	1.34	1.34	11848	11848
1925-02	2.01	2.01	13782	13782
1925-03	1.03	1.03	10862	10862
1925-04	1.33	1.33	11712	11712
1925-05	2.24	2.24	14497	14497
1925-06	2.17	2.17	14332	14332
1925-07	0.60	0.60	9682	9682
1925-08	0.08	0.08	8291	8291
1925-09	-0.45	-0.45	7004	7004
1925-10	0.12	0.12	8394	8394
1925-11	1.36	1.36	11816	11816
1925-12	2.36	2.36	14903	14903
1926-01	2.45	2.45	15184	15184
1926-02	3.48	3.48	18732	18732
1926-03	4.20	4.20	21372	21372
1926-04	4.03	4.03	20728	20728
1926-05	4.10	4.10	21010	21010
1926-06	3.94	3.94	20423	20423
1926-07	3.43	3.43	18546	18546
1926-08	2.75	2.75	16190	16190
1926-09	1.81	1.81	13149	13149
1926-10	1.19	1.19	11309	11309
1926-11	1.08	1.08	11016	11016
1926-12	1.70	1.70	12808	12808
1927-01	2.80	2.80	16341	16341
1927-02	3.31	3.31	18128	18128
1927-03	3.23	3.23	17826	17826
1927-04	3.38	3.38	18358	18358
1927-05	2.32	2.32	14773	14773
1927-06	1.48	1.48	12152	12152
1927-07	1.18	1.18	11270	11270
1927-08	0.31	0.31	8899	8899
1927-09	1.01	1.01	10893	10893
1927-10	1.73	1.73	13032	13032
1927-11	1.71	1.71	12913	12913
1927-12	0.87	0.87	10462	10462
1928-01	0.30	0.30	8854	8854
